DATA,REG_ANS,CD_CONTA_CONTABIL,DESCRICAO,VL_SALDO_INICIAL,VL_SALDO_FINAL,ano,trimestre
2025-07-01,347736,411111151,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,55399.85,87427.41,2025,3T
2025-07-01,347736,411111161,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,2289764.74,3481327.84,2025,3T
2025-07-01,347736,411111211,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,42999.31,61082.04,2025,3T
2025-07-01,347736,411111221,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,2113039.88,2894103.94,2025,3T
2025-07-01,347736,411111231,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,211580.63,273936.88,2025,3T
2025-07-01,348082,411111111,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,1619731.34,2436303.36,2025,3T
2025-07-01,348082,411111121,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,3589935.22,5425007.8,2025,3T
2025-07-01,348082,411111141,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,1508989.94,2239760.02,2025,3T
2025-07-01,348082,411111151,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,69833.93,107429.52,2025,3T
2025-07-01,348082,411111161,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,11445710.44,17428621.13,2025,3T
2025-07-01,348082,411111181,Despesas com Eventos / Sinistros,425548.37,535284.25,2025,3T
2025-07-01,348082,411111211,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,931137.41,1385460.52,2025,3T
2025-07-01,348082,411111217,Despesas com Eventos/Sinistros - Judicial,173000.0,692000.0,2025,3T
2025-07-01,348082,411111221,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,4821772.0,7538884.44,2025,3T
2025-07-01,348082,411111227,Despesas com Eventos/Sinistros - Judicial,534980.23,804717.48,2025,3T
2025-07-01,348082,411111241,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,1343091.2,2000604.28,2025,3T
2025-07-01,348082,411111247,Despesas com Eventos/Sinistros - Judicial,38836.0,196906.77,2025,3T
2025-07-01,348082,411111251,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,32309.72,47320.32,2025,3T
2025-07-01,348082,411111261,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,8348296.01,12849109.31,2025,3T
2025-07-01,348082,411111267,Despesas com Eventos/Sinistros - Judicial,150081.39,210886.93,2025,3T
2025-07-01,348082,411111281,Despesas com Eventos / Sinistros,363021.75,468434.2,2025,3T
2025-07-01,348082,411112181,Despesas com Eventos / Sinistros,9341719.92,14726931.65,2025,3T
2025-07-01,348082,411511211,Despesas com Eventos / Sinistros,8251612.12,12779516.93,2025,3T
2025-07-01,348082,411511221,Despesas com Eventos / Sinistros,15180434.64,23020425.13,2025,3T
2025-07-01,348082,411511241,Despesas com Eventos / Sinistros,7092452.76,10339028.96,2025,3T
2025-07-01,348082,411511251,Despesas com Eventos / Sinistros,49922.82,124190.33,2025,3T
2025-07-01,348082,411511261,Despesas com Eventos / Sinistros,39696374.0,60106775.85,2025,3T
2025-07-01,348082,411511281,Despesas com Eventos / Sinistros,749307.76,867299.05,2025,3T
2025-07-01,348082,411512281,Despesas com Eventos / Sinistros,16600911.85,25590725.89,2025,3T
2025-07-01,348082,411611111,Despesas com Eventos / Sinistros,498005.45,626931.83,2025,3T
2025-07-01,348082,411611121,Despesas com Eventos / Sinistros,2918637.94,4168328.2,2025,3T
2025-07-01,348082,411611141,Despesas com Eventos / Sinistros,439853.48,677380.97,2025,3T
2025-07-01,348082,411611151,Despesas com Eventos / Sinistros,4183.23,21146.84,2025,3T
2025-07-01,348082,411611161,Despesas com Eventos / Sinistros,3624510.32,5417908.37,2025,3T
2025-07-01,348082,411811211,Despesas com Eventos / Sinistros,8683.28,15428.2,2025,3T
2025-07-01,348082,411811221,Despesas com Eventos / Sinistros,41243.83,82554.88,2025,3T
2025-07-01,348082,411811251,Despesas com Eventos / Sinistros,1140.89,2235.95,2025,3T
2025-07-01,348082,411811261,Despesas com Eventos / Sinistros,109138.12,181506.45,2025,3T
2025-07-01,348244,411411111,Despesas com Eventos / Sinistros,43.6,65.4,2025,3T
2025-07-01,348244,411411121,Despesas com Eventos / Sinistros,1487.76,2200.61,2025,3T
