DATA,REG_ANS,CD_CONTA_CONTABIL,DESCRICAO,VL_SALDO_INICIAL,VL_SALDO_FINAL,ano,trimestre
2025-01-01,315648,411511151,Despesas com Eventos / Sinistros,0.0,13535.56,2025,1T
2025-01-01,315648,411511161,Despesas com Eventos / Sinistros,0.0,1509606.86,2025,1T
2025-01-01,315648,411511211,Despesas com Eventos / Sinistros,0.0,510.01,2025,1T
2025-01-01,315648,411512181,Despesas com Eventos / Sinistros,0.0,84400.6,2025,1T
2025-01-01,315648,411611111,Despesas com Eventos / Sinistros,0.0,66607.62,2025,1T
2025-01-01,315648,411611121,Despesas com Eventos / Sinistros,0.0,837796.16,2025,1T
2025-01-01,315648,411611131,Despesas com Eventos / Sinistros,0.0,485.51,2025,1T
2025-01-01,315648,411611141,Despesas com Eventos / Sinistros,0.0,41775.6,2025,1T
2025-01-01,315648,411611151,Despesas com Eventos / Sinistros,0.0,1070.97,2025,1T
2025-01-01,315648,411611161,Despesas com Eventos / Sinistros,0.0,320965.89,2025,1T
2025-01-01,315648,411611211,Despesas com Eventos / Sinistros,0.0,134242.12,2025,1T
2025-01-01,315648,411611221,Despesas com Eventos / Sinistros,0.0,1156543.58,2025,1T
2025-01-01,318213,411112781,Despesas com Eventos / Sinistros,0.0,443810.93,2025,1T
2025-01-01,318213,411411121,Despesas com Eventos / Sinistros,0.0,168.76,2025,1T
2025-01-01,318213,411411131,Despesas com Eventos / Sinistros,0.0,123.49,2025,1T
2025-01-01,318213,411411141,Despesas com Eventos / Sinistros,0.0,517.11,2025,1T
2025-01-01,318213,411411161,Despesas com Eventos / Sinistros,0.0,736.92,2025,1T
2025-01-01,318213,411411211,Despesas com Eventos / Sinistros,0.0,9972.33,2025,1T
2025-01-01,318213,411411221,Despesas com Eventos / Sinistros,0.0,80032.26,2025,1T
2025-01-01,318213,411411231,Despesas com Eventos / Sinistros,0.0,5824.82,2025,1T
2025-01-01,318213,411411241,Despesas com Eventos / Sinistros,0.0,59788.92,2025,1T
2025-01-01,318213,411411251,Despesas com Eventos / Sinistros,0.0,396.42,2025,1T
2025-01-01,318213,411411261,Despesas com Eventos / Sinistros,0.0,164160.79,2025,1T
2025-01-01,318213,411412161,Despesas com Eventos / Sinistros,0.0,570.16,2025,1T
2025-01-01,318213,411412181,Despesas com Eventos / Sinistros,0.0,2290.5,2025,1T
2025-01-01,318213,411412261,Despesas com Eventos / Sinistros,0.0,258049.67,2025,1T
2025-01-01,318213,411412281,Despesas com Eventos / Sinistros,0.0,359371.58,2025,1T
2025-01-01,318213,411511121,Despesas com Eventos / Sinistros,0.0,1196.66,2025,1T
2025-01-01,318213,411511161,Despesas com Eventos / Sinistros,0.0,8722.4,2025,1T
2025-01-01,318213,411512161,Despesas com Eventos / Sinistros,0.0,129976.2,2025,1T
2025-01-01,318213,411512181,Despesas com Eventos / Sinistros,0.0,6935.47,2025,1T
2025-01-01,318213,411611111,Despesas com Eventos / Sinistros,0.0,156457.61,2025,1T
2025-01-01,318213,411611121,Despesas com Eventos / Sinistros,0.0,539705.49,2025,1T
2025-01-01,318213,411611131,Despesas com Eventos / Sinistros,0.0,18410.12,2025,1T
2025-01-01,318213,411611141,Despesas com Eventos / Sinistros,0.0,512990.74,2025,1T
2025-01-01,318213,411611151,Despesas com Eventos / Sinistros,0.0,256.2,2025,1T
2025-01-01,318213,411611161,Despesas com Eventos / Sinistros,0.0,496655.82,2025,1T
2025-01-01,318213,411611211,Despesas com Eventos / Sinistros,0.0,49868.61,2025,1T
2025-01-01,318213,411611221,Despesas com Eventos / Sinistros,0.0,432448.12,2025,1T
2025-01-01,318213,411611231,Despesas com Eventos / Sinistros,0.0,1018.04,2025,1T
2025-01-01,318213,411611241,Despesas com Eventos / Sinistros,0.0,482663.79,2025,1T
2025-01-01,318213,411611261,Despesas com Eventos / Sinistros,0.0,385972.71,2025,1T
2025-01-01,318213,411611711,Despesas com Eventos / Sinistros,0.0,772.45,2025,1T
2025-01-01,318213,411611721,Despesas com Eventos / Sinistros,0.0,45751.86,2025,1T
