RegistroANS,CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
419133,,,3T,2025,172988172072
419141,,,3T,2025,10951905030
419150,,,3T,2025,4815021896
419249,,,3T,2025,42101428014
419257,,,3T,2025,0
419281,,,3T,2025,149136002
419354,,,3T,2025,16037229
419419,,,3T,2025,3247800938
419427,,,3T,2025,5365809578
419486,,,3T,2025,6214503365
419516,,,3T,2025,1346417992
419524,,,3T,2025,8795750
419567,,,3T,2025,0
419591,,,3T,2025,489949745
419699,,,3T,2025,3680014863
419753,,,3T,2025,497512999
419851,,,3T,2025,1108002180
419958,,,3T,2025,2603419193
419974,,,3T,2025,457099956
420000,,,3T,2025,5307151132
420077,,,3T,2025,23027853137
420085,,,3T,2025,1517839289
420093,,,3T,2025,398594451
420123,,,3T,2025,634722308
420158,,,3T,2025,8775005902
420166,,,3T,2025,13711658725
420271,,,3T,2025,1341559862
420701,,,3T,2025,2633761217
420786,,,3T,2025,2079791984
420816,,,3T,2025,206576318
420841,,,3T,2025,0
420930,,,3T,2025,56349293
420981,,,3T,2025,681831712
421006,,,3T,2025,4490970540
421146,,,3T,2025,0
421154,,,3T,2025,3900079095
421189,,,3T,2025,333127328
421197,,,3T,2025,7545011968
421341,,,3T,2025,7330139727
421359,,,3T,2025,1375600737
421367,,,3T,2025,408884325
421421,,,3T,2025,21052289115
421561,,,3T,2025,58113613
421618,,,3T,2025,410965384
421634,,,3T,2025,340705531
421642,,,3T,2025,26693881
421715,,,3T,2025,461431405406
421723,,,3T,2025,173710760
421731,,,3T,2025,7015554429
421766,,,3T,2025,6289912126
421871,,,3T,2025,996169609
421928,,,3T,2025,31404064509
421944,,,3T,2025,4654474167
422029,,,3T,2025,19715566046
422053,,,3T,2025,12168102632
422070,,,3T,2025,6835155933
422088,,,3T,2025,187123725
422134,,,3T,2025,0
422151,,,3T,2025,902062638
422304,,,3T,2025,494960618
422321,,,3T,2025,6516800438
422339,,,3T,2025,31512731498
422355,,,3T,2025,146035809
422371,,,3T,2025,2858559684
422398,,,3T,2025,7007465145
422401,,,3T,2025,0
422479,,,3T,2025,1535756
422487,,,3T,2025,795252465
422576,,,3T,2025,0
422584,,,3T,2025,2054899623
422631,,,3T,2025,76611528655
422681,,,3T,2025,5980666250
422720,,,3T,2025,29163100139
422746,,,3T,2025,259863195
422754,,,3T,2025,98602802
422762,,,3T,2025,1765119964
422771,,,3T,2025,6492292301
422827,,,3T,2025,2252005970
422835,,,3T,2025,479158688
422941,,,3T,2025,28400
422959,,,3T,2025,396592203
423173,,,3T,2025,18943764114
423181,,,3T,2025,38327289
423203,,,3T,2025,350531548
423262,,,3T,2025,38463114
423319,,,3T,2025,4148285721
423335,,,3T,2025,4132586903
423351,,,3T,2025,1823258271
423408,,,3T,2025,38208371
423432,,,3T,2025,195885187
423441,,,3T,2025,639728858
423548,,,3T,2025,1727765047
423564,,,3T,2025,89366445
423572,,,3T,2025,141605525
423629,,,3T,2025,1664354851
423645,,,3T,2025,37768359
423661,,,3T,2025,7337484150
423718,,,3T,2025,669028814
423815,,,3T,2025,7750922
423858,,,3T,2025,0
423912,,,3T,2025,39274575
424048,,,3T,2025,375317112
424129,,,3T,2025,0
424145,,,3T,2025,0
424161,,,3T,2025,0
424170,,,3T,2025,157868303
424188,,,3T,2025,186131175545
424463,,,3T,2025,3571545
424501,,,3T,2025,0
424528,,,3T,2025,0
424544,,,3T,2025,0
000515,,,2T,2025,1400535369
000582,,,2T,2025,308325517052
000701,,,2T,2025,294776118217
000884,,,2T,2025,16643893462
005711,,,2T,2025,2381680293168
006246,,,2T,2025,972823506961
300136,,,2T,2025,7421108372
300713,,,2T,2025,9637800959
300730,,,2T,2025,180729318
301060,,,2T,2025,4492909971
301124,,,2T,2025,2773667833
301574,,,2T,2025,15349078693
301728,,,2T,2025,3834765730
301744,,,2T,2025,6457961054
301949,,,2T,2025,43269167684
302147,,,2T,2025,221852967158
302228,,,2T,2025,1456114539
302627,,,2T,2025,2267648544
302953,,,2T,2025,33526170916
303178,,,2T,2025,3798173835
303267,,,2T,2025,19937044920
303356,,,2T,2025,38826068587
303623,,,2T,2025,38276610732
303739,,,2T,2025,10219103977
303844,,,2T,2025,3435325876
303976,,,2T,2025,87140996013
304051,,,2T,2025,7783377989
304123,,,2T,2025,3041104210
304131,,,2T,2025,5968614588
304212,,,2T,2025,650441144
304344,,,2T,2025,4996514328
304395,,,2T,2025,6012564827
304441,,,2T,2025,513429641
304468,,,2T,2025,6197055650
304484,,,2T,2025,1711826890
304531,,,2T,2025,265189802
304701,,,2T,2025,233742192011
304883,,,2T,2025,13359383648
305227,,,2T,2025,6344163509
305421,,,2T,2025,169461587
305472,,,2T,2025,6667601487
305626,,,2T,2025,1460076276
305928,,,2T,2025,421631828
306045,,,2T,2025,425405750
306100,,,2T,2025,9325873354
306126,,,2T,2025,10757200441
306398,,,2T,2025,38213713199
306754,,,2T,2025,396097938
306762,,,2T,2025,13632474437
306886,,,2T,2025,41204282769
307319,,,2T,2025,15282664861
307751,,,2T,2025,6503842937
308811,,,2T,2025,2070830357
309028,,,2T,2025,583756292
309087,,,2T,2025,6136093320
309222,,,2T,2025,115819509046
309524,,,2T,2025,1189515122
309907,,,2T,2025,11248626300
310239,,,2T,2025,1202004283
310247,,,2T,2025,13564087777
310522,,,2T,2025,10496849160
310981,,,2T,2025,726856617
311057,,,2T,2025,1607431056
311146,,,2T,2025,3459200753
311294,,,2T,2025,8898022019
311359,,,2T,2025,5564086855
311375,,,2T,2025,11047898131
311391,,,2T,2025,724724794
311618,,,2T,2025,7625828129
311715,,,2T,2025,9063359061
311847,,,2T,2025,15339215370
311944,,,2T,2025,1760657087
311961,,,2T,2025,5929762461
312126,,,2T,2025,126466211952
312282,,,2T,2025,2281294463
312347,,,2T,2025,12176397488
312363,,,2T,2025,296400924963
312592,,,2T,2025,7006252818
312720,,,2T,2025,51775122714
312851,,,2T,2025,56017243422
313084,,,2T,2025,4435606578
313149,,,2T,2025,473473173
313211,,,2T,2025,8097236626
313475,,,2T,2025,674547191
313751,,,2T,2025,1974941763
314099,,,2T,2025,14217177195
314218,,,2T,2025,34367168806
314242,,,2T,2025,2619199297
314251,,,2T,2025,3725628459
314315,,,2T,2025,507122243
314366,,,2T,2025,176085583
314587,,,2T,2025,1816523530
314668,,,2T,2025,10456953722
314706,,,2T,2025,593359444
314781,,,2T,2025,1886836994
315044,,,2T,2025,10351511520
315265,,,2T,2025,4376504749
315478,,,2T,2025,89374617269
315494,,,2T,2025,2492069225
315567,,,2T,2025,9791897100
315583,,,2T,2025,2350102679
315648,,,2T,2025,2549268080
315729,,,2T,2025,42950710847
315796,,,2T,2025,27418552637
316148,,,2T,2025,8022558437
316458,,,2T,2025,1395228615
316849,,,2T,2025,352565857
316873,,,2T,2025,7400305853
316881,,,2T,2025,9007007177
316903,,,2T,2025,25632688
316997,,,2T,2025,336916522
317012,,,2T,2025,3534956388
317144,,,2T,2025,161183574350
317233,,,2T,2025,16963433134
317632,,,2T,2025,18637168831
317896,,,2T,2025,2234361820
318035,,,2T,2025,3119595587
318213,,,2T,2025,4984723363
318299,,,2T,2025,14361068585
318388,,,2T,2025,7000715411
318477,,,2T,2025,4932429203
318566,,,2T,2025,6995845003
319121,,,2T,2025,40017500113
319180,,,2T,2025,3387593148
319384,,,2T,2025,14708699831
319422,,,2T,2025,4390727777
319708,,,2T,2025,20268760884
319872,,,2T,2025,229898616
319996,,,2T,2025,104828980379
